block_price,block_time,market_price,direction,reached_1d,pct_toward_1d,close_1d,reached_3d,pct_toward_3d,close_3d,reached_1w,pct_toward_1w,close_1w,reached_2w,pct_toward_2w,close_2w,reached_1mo,pct_toward_1mo,close_1mo,event_idx,ticker,trade_date,size,deviation,dollar_value,exchange
597.0261,2025-06-16 15:19:16.049485511-04:00,602.13,below_market,True,100.0,597.7399,True,100.0,597.29,True,100.0,598.67,True,100.0,617.175,True,100.0,623.99,0,SPY,2025-06-16,1511773,0.0081469606100375,902567938.2753,D
634.46,2025-07-30 18:30:00.000755890-04:00,638.859,below_market,True,100.0,631.21,True,100.0,621.23,True,100.0,634.0,True,100.0,644.48,True,100.0,645.04,1,SPY,2025-07-30,701684,0.0062028131950752,445190430.6400001,P
628.0228,2025-08-06 11:45:17.469734978-04:00,632.765,below_market,False,31.72999873476338,631.37,False,77.07393193032671,638.6,False,77.07393193032671,644.07,False,77.07393193032671,636.01,False,77.07393193032671,646.4,2,SPY,2025-08-06,796447,0.0064109480678718,500186874.9916,D
628.0228,2025-08-06 14:02:32.943351476-04:00,632.825,below_market,False,65.28257881804039,630.725,False,77.36037649410618,638.6,False,77.36037649410618,643.785,False,77.36037649410618,636.17,False,77.36037649410618,645.035,3,SPY,2025-08-06,1590874,0.007128966261159,999105143.9272,D
632.1468,2025-08-08 16:21:00.768898076-04:00,638.1301,below_market,False,3.6785720254709395,638.6,False,57.99642337840339,635.46,False,57.99642337840339,642.8799,False,86.5759697825604,645.5503,False,86.5759697825604,645.96,4,SPY,2025-08-08,781100,0.009407192666301,493769865.48,D
646.9694,2025-08-15 11:09:24.215836949-04:00,643.84,above_market,False,33.233207643637456,643.2294,False,33.233207643637456,643.3,False,77.65066785965404,645.715,True,100.0,644.64,True,100.0,657.25,5,SPY,2025-08-15,1000000,0.0052952196029097,646969400.0,D
652.2168,2025-09-11 10:44:36.054557749-04:00,656.7,below_market,False,11.375802997858441,657.8007,False,11.375802997858441,657.25,False,53.53319057816036,663.5,False,53.53319057816036,658.74,True,100.0,652.15,6,SPY,2025-09-11,753995,0.0070990135184507,491768206.116,D
659.2254,2025-09-18 10:13:27.942389736-04:00,664.1,below_market,False,91.90497681861139,662.075,False,91.90497681861139,663.47,True,100.0,657.99,True,100.0,668.63,True,100.0,665.28,7,SPY,2025-09-18,577633,0.0065772540273361,380790345.4782,D
659.2254,2025-09-18 15:00:28.696874101-04:00,663.36,below_market,False,90.45615053451432,663.115,False,90.45615053451432,663.47,True,100.0,657.77,True,100.0,669.56,True,100.0,665.28,8,SPY,2025-09-18,502159,0.0061279380060002,331035967.6386,D
661.1969,2025-09-25 14:02:45.783221197-04:00,655.19,above_market,True,100.0,661.42,True,100.0,662.11,True,100.0,669.0,True,100.0,669.71,True,100.0,677.3,9,SPY,2025-09-25,761376,0.0097538217192774,503419450.9344,D
671.2084,2025-10-10 16:41:20.064978298-04:00,653.73,above_market,False,0.2288538996702427,652.15,False,65.22336140607837,662.6606,False,94.40223361406098,664.95,True,100.0,677.06,True,100.0,672.36,10,SPY,2025-10-10,918100,0.0264073318086256,616236432.04,D
660.7104,2025-10-17 16:29:03.711424011-04:00,665.09,below_market,False,15.983194812312728,665.28,False,15.983194812312728,671.73,False,40.87131244862738,677.14,False,40.87131244862738,681.59,False,88.70673120832969,673.34,11,SPY,2025-10-17,1138446,0.0066148456646268,752183112.0384,D
664.1977,2025-10-20 12:04:25.108240410-04:00,670.48,below_market,False,7.942950830110414,672.44,True,100.0,670.5,True,100.0,683.705,True,100.0,682.3,True,100.0,663.05,12,SPY,2025-10-20,760189,0.0095305796935468,504915785.36530006,D
671.3135,2025-10-22 15:04:17.170375400-04:00,667.2,above_market,True,100.0,672.5901,True,100.0,677.3,True,100.0,684.73,True,100.0,680.22,True,100.0,663.13,13,SPY,2025-10-22,1118271,0.0076604974407468,750710418.9585,D
671.6534,2025-10-24 16:57:32.491243198-04:00,677.03,below_market,False,1.3019380277487096,677.3,False,1.3019380277487096,685.74,False,1.3019380277487096,682.0,True,100.0,670.94,True,100.0,660.1375,14,SPY,2025-10-24,1000000,0.0078535237898281,671653400.0,D
680.02,2025-10-30 16:58:48.468602953-04:00,684.0034,below_market,True,100.0,682.0,True,100.0,681.7501,True,100.0,670.27,True,100.0,672.06,True,100.0,683.54,15,SPY,2025-10-30,660000,0.005629724947724,448813200.0,D
679.83,2025-10-30 18:30:00.000746799-04:00,684.0,below_market,True,100.0,682.06,True,100.0,681.7501,True,100.0,671.66,True,100.0,671.95,True,100.0,683.54,16,SPY,2025-10-30,1135993,0.0063579759712355,772282121.19,P
662.63,2025-11-19 18:30:00.000758050-05:00,668.9799,below_market,True,100.0,653.13,True,100.0,660.1375,True,100.0,680.1205,True,100.0,684.03,True,100.0,681.28,17,SPY,2025-11-19,909665,0.0085583900650857,602771318.95,P
654.6585,2025-11-21 11:51:28.548517826-05:00,660.64,below_market,False,62.86048650004182,660.1375,False,62.86048650004182,668.02,False,62.86048650004182,682.76,False,62.86048650004182,686.25,False,62.86048650004182,681.4505,18,SPY,2025-11-21,500000,0.0056525107081016,327329250.0,D
674.715,2025-11-28 13:12:52.685410003-05:00,683.07,below_market,True,100.0,683.54,True,100.0,682.63,True,100.0,686.28,True,100.0,683.65,True,100.0,689.91,19,SPY,2025-11-28,500000,0.012072449338175,337357500.0,D
673.15,2025-11-28 14:15:45.176634729-05:00,683.22,below_market,False,2.1847070506457418,683.54,False,54.716981132075105,681.515,False,54.716981132075105,685.96,False,54.716981132075105,681.65,True,100.0,689.91,20,SPY,2025-11-28,500000,0.0144938145084546,336575000.0,D
673.715,2025-11-28 14:17:42.202093450-05:00,683.22,below_market,False,2.3145712782748804,683.54,False,57.96948974224085,681.515,False,57.96948974224085,685.96,False,57.96948974224085,681.65,True,100.0,689.91,21,SPY,2025-11-28,500000,0.0136522019208244,336857500.0,D
673.715,2025-11-28 14:19:48.268979692-05:00,683.22,below_market,False,2.3145712782748804,683.54,False,57.96948974224085,681.515,False,57.96948974224085,685.96,False,57.96948974224085,681.65,True,100.0,689.91,22,SPY,2025-11-28,500000,0.0136522019208244,336857500.0,D
688.9979,2025-12-12 10:21:59.378139282-05:00,683.75,above_market,False,35.442748527983156,681.8874,False,40.39711122544296,679.84,False,40.39711122544296,679.11,True,100.0,690.61,True,100.0,694.48,23,SPY,2025-12-12,502305,0.0052494901151867,346087090.1595,D
