date,first_hour_ret,last_hour_ret,am_range,pm_range,gap_fill_flag,vwap_dev_am,open_drive_flag,vol_am_pct,late_reversal_flag,premarket_ret,premarket_vol_ratio,overnight_gap
2021-01-04,-0.0076423276182843855,0.0023938810065977497,0.023327704153189962,0.012622720897615618,1,0.0061891608781580055,1,0.20642210449469392,0,-0.000800732097918181,0.007647106875613439,0.002841724553648341
2021-01-05,0.003852215023638572,-0.00031813054920888683,0.007791980388723396,0.007704430047277144,1,-0.0023396918301683105,1,0.3233065749408856,0,-0.0027358188538665206,0.03363482091509226,-0.0023582845663376777
2021-01-06,0.011825894932589473,-0.0025244556642473838,0.019031845653184595,0.0112157136215714,1,-0.0005004454804949241,1,0.23814803267110074,0,0.0028556442683140572,0.02811260779476166,-0.00454111589969049
2021-01-07,0.007854898600399885,-0.0005947829042398945,0.010482719223079164,0.0041988003427591266,0,-0.00022362401772901353,1,0.3671672192833464,0,0.0008576329331046637,0.0212488868409045,0.007192174913693901
2021-01-08,-0.003076662526814878,0.0032793373476944793,0.0062380038387715355,0.011516314779270589,1,0.0007369213711173482,1,0.2217653251490944,1,0.0010171790235080154,0.01540356604346978,0.00382512112883565
2021-01-11,0.004690831556503134,-0.002094537220492525,0.005970149253731246,0.006510305614783123,0,0.0004887712591511274,1,0.30934758598010964,0,-0.004076548522251154,0.03326793579090052,-0.008987434495971143
2021-01-12,0.0015593989225971402,0.00017017897155175503,0.005557130705982525,0.008278990643606349,1,0.0009098636283974006,1,0.23559329216594818,0,-0.001161242813039817,0.015885980348518486,0.000482228462825904
2021-01-13,0.0013899920571882704,-0.0016380016380015932,0.00553160104391237,0.004680585498695207,1,-0.0012333128547712005,1,0.2945199796470333,0,-0.0014728791955814719,0.03194482374764891,8.510879741261515e-05
2021-01-14,0.0009596928982726427,-0.0038456100664497578,0.0025121372925370985,0.006971886643332874,1,0.0024699354573703095,1,0.19464489017460057,1,-0.0004513526474654433,0.02356044921291469,0.0023199230464550254
2021-01-15,-0.005931333409376024,-0.002140044512925869,0.010294285388388313,0.004990304551157751,0,0.0003402760825028313,0,0.504322455773059,0,-0.0017932879792775481,0.021321548766700053,-0.0049090547941318865
2021-01-19,-0.0018172009426729503,-0.0005387778250389841,0.005338027769101892,0.004372639768306777,0,-0.0020369079168388103,0,0.24509219060706092,0,0.0015358798600643377,0.03545859839514226,0.007120388904775548
2021-01-20,0.003241536770301982,-0.0007270896837159622,0.0062575753304958915,0.004904586069848097,0,-0.0021519990363892275,1,0.3531351540628664,0,0.00387673674976656,0.016469187927840512,0.006525378046358426
2021-01-21,0.000670559637897662,-0.0016748548459134176,0.004414517616160443,0.00427481769159837,1,1.8974275840776108e-06,1,0.3405527291687122,0,-0.0005584876155370937,0.018322434563046025,0.0017913622750302103
2021-01-22,0.0005058595396678381,-0.0022675736961451313,0.0048618722423629775,0.0033442936233594634,0,-0.0009142526457165231,1,0.34306563288925357,0,-0.001038888108942874,0.04553518544510919,-0.004949664429530309
2021-01-25,0.002323953520929696,0.0027743526510481146,0.016463670726585458,0.009211815763684784,1,0.0007927110776221651,1,0.23397518004368772,0,-0.0012863174967143994,0.026422777274549683,0.002216859355707609
2021-01-26,-0.0019789837500347844,-0.0020946795140343527,0.005936951250104511,0.003679237394431112,1,0.00021012572278347904,1,0.3061696691787146,0,0.004592165317951408,0.031364230308327204,0.0022628226617499225
2021-01-27,-0.0012431485562524657,0.001005140576089207,0.012318472057410738,0.018082160818217712,0,0.005816968849910256,1,0.25114639091962926,0,-0.007876443547482908,0.037375736396497855,-0.0092097528203119
2021-01-28,0.0075926243078153375,-0.00795890720252877,0.013472626591311215,0.01241650967631434,0,-0.0008110488137228692,1,0.3586794292481078,1,0.015479158212070191,0.04772176017255709,0.004530336047711848
2021-01-29,0.0027456027456028496,-0.0015935100680862077,0.013041613041613049,0.013213213213213226,0,0.006663876746923195,1,0.1886708378793379,0,0.004452615552555259,0.053104916861174724,-0.005065020060894146
2021-02-01,-0.0010060651355312481,-0.0019096479977198685,0.011727845008479646,0.00592141194055593,0,-0.003852194654111252,0,0.3280567929461749,0,0.0014104778353483279,0.03055333547525089,0.009664499651729696
2021-02-02,0.0056031921215723415,-0.004093878809971061,0.009225457735517986,0.004839120468630716,0,-0.0004916404792184352,1,0.32926107681624345,1,0.0018429259994330427,0.024714147863964732,0.009542039253778339
2021-02-03,-0.003567315524844757,-0.0030010657990688088,0.006797561866239758,0.004859414061402821,1,-0.0013027954650336711,1,0.35297717960208,0,-0.0018783817881073647,0.02751323141695707,0.0031276415891800893
2021-02-04,0.0021318971079132398,0.002202458947838023,0.005217537658840398,0.004347948049033665,0,-0.0015851546455237582,1,0.33223998281766165,0,0.0007017543859649122,0.023474758953009222,0.0029258686172458025
2021-02-05,-0.002490453262493711,0.00038809114597767463,0.004648846089988397,0.003320604349991667,0,-0.000329008418666861,1,0.2786337739938754,0,0.0030529266464989113,0.02675885519577521,0.005453230204217849
2021-02-08,0.0006899216249034109,0.003118015507298351,0.0041119328844243545,0.005022629429296813,0,-1.1210264553764716e-05,1,0.2836756747295551,0,0.0017137960582690787,0.014286656604871889,0.004212393304511802
2021-02-09,0.0016543509429799434,-0.0013744570894496674,0.0033087018859602004,0.002564243961619077,1,-0.0006539127083978064,1,0.28877428410081957,0,-0.0018717313515001564,0.0317281892592811,-0.0023381839187961544
2021-02-10,-0.00736945920771464,-0.001759305074495537,0.012191112815736094,0.0061366500465728155,1,0.0005788925845005194,1,0.38281085944640325,0,0.001536604104928115,0.013496190509315255,0.004651418820356144
2021-02-11,-0.0011531808571976583,0.0024253114320363033,0.003953762938963779,0.007358392136404841,1,0.0018945060085732953,0,0.2295553017607626,0,0.0006043790005769822,0.016680763751296745,0.0027808370044052613
2021-02-12,0.0015706806282723893,0.004065152305875294,0.004767153485808813,0.0061173877101130545,1,-0.00136608172340185,1,0.2236058607211394,0,0.001407323601644612,0.012925653630040548,-0.002199615067363243
2021-02-16,0.00016360364290778827,-0.0012579304309778482,0.005753394775590373,0.0044718329061460066,1,0.0008850397767310375,0,0.29930837248325076,0,-0.0009533148117883257,0.02471900849061712,0.003145600262589333
2021-02-17,-0.000467752586396698,0.0015078407720145065,0.006135813339203064,0.005888179616993139,1,-0.0014640885228225345,1,0.3462487293623785,0,-0.004900484573055449,0.03485489975510857,-0.0049827520122652175
2021-02-18,-0.0037502757555703003,-0.0007417378643443361,0.006535407015221721,0.008493271564085551,0,-0.0018338736309307265,1,0.3447144158660401,0,-0.006601835365018559,0.03607552520610434,-0.007336034161830742
